"True_positive_rate","False_positive_rate","Cutoff","Area_under_the_ROC_curve","model"
0,0,Inf,0.759123519042334,"contrast 
* nback threshold"
0,0.000578034682080925,0.957351128365059,0.759123519042334,"contrast 
* nback threshold"
0.00709219858156028,0.000578034682080925,0.929882846424036,0.759123519042334,"contrast 
* nback threshold"
0.00709219858156028,0.00115606936416185,0.557398372892802,0.759123519042334,"contrast 
* nback threshold"
0.00709219858156028,0.00173410404624277,0.286496347154743,0.759123519042334,"contrast 
* nback threshold"
0.00709219858156028,0.0023121387283237,0.273944213950312,0.759123519042334,"contrast 
* nback threshold"
0.00709219858156028,0.00289017341040462,0.262354364141539,0.759123519042334,"contrast 
* nback threshold"
0.0141843971631206,0.00289017341040462,0.227705498074754,0.759123519042334,"contrast 
* nback threshold"
0.0212765957446809,0.00289017341040462,0.187853345730579,0.759123519042334,"contrast 
* nback threshold"
0.0283687943262411,0.00289017341040462,0.184860731820932,0.759123519042334,"contrast 
* nback threshold"
0.0354609929078014,0.00289017341040462,0.156950639452531,0.759123519042334,"contrast 
* nback threshold"
0.0425531914893617,0.00289017341040462,0.139872762772233,0.759123519042334,"contrast 
* nback threshold"
0.0425531914893617,0.00346820809248555,0.13187029748452,0.759123519042334,"contrast 
* nback threshold"
0.0425531914893617,0.00404624277456647,0.131837791964613,0.759123519042334,"contrast 
* nback threshold"
0.049645390070922,0.00404624277456647,0.117981723485082,0.759123519042334,"contrast 
* nback threshold"
0.049645390070922,0.0046242774566474,0.11734734363612,0.759123519042334,"contrast 
* nback threshold"
0.049645390070922,0.00520231213872832,0.109255982743155,0.759123519042334,"contrast 
* nback threshold"
0.0567375886524823,0.00520231213872832,0.102170269543124,0.759123519042334,"contrast 
* nback threshold"
0.0638297872340425,0.00520231213872832,0.092541771355287,0.759123519042334,"contrast 
* nback threshold"
0.0709219858156028,0.00520231213872832,0.0898988163631474,0.759123519042334,"contrast 
* nback threshold"
0.0709219858156028,0.00578034682080925,0.0849833203668299,0.759123519042334,"contrast 
* nback threshold"
0.0709219858156028,0.00635838150289017,0.0833707398421769,0.759123519042334,"contrast 
* nback threshold"
0.0780141843971631,0.00635838150289017,0.0796458233799314,0.759123519042334,"contrast 
* nback threshold"
0.0780141843971631,0.0069364161849711,0.0795743241086595,0.759123519042334,"contrast 
* nback threshold"
0.0780141843971631,0.00751445086705202,0.0790934213606062,0.759123519042334,"contrast 
* nback threshold"
0.0780141843971631,0.00809248554913295,0.0774947628251794,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.00809248554913295,0.0772092458722484,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.00867052023121387,0.0768248914206133,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0092485549132948,0.0757616847187204,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.00982658959537572,0.075394148093646,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0104046242774566,0.0750781205119593,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0109826589595376,0.0747451885695966,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0115606936416185,0.0739519893871936,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0121387283236994,0.0728683577526066,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0127167630057803,0.0721796454245016,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0132947976878613,0.0714408666371784,0.759123519042334,"contrast 
* nback threshold"
0.0851063829787234,0.0138728323699422,0.070749260153815,0.759123519042334,"contrast 
* nback threshold"
0.0921985815602837,0.0138728323699422,0.0691914881061151,0.759123519042334,"contrast 
* nback threshold"
0.0921985815602837,0.0144508670520231,0.0676577419582712,0.759123519042334,"contrast 
* nback threshold"
0.0921985815602837,0.015028901734104,0.0667712763305325,0.759123519042334,"contrast 
* nback threshold"
0.099290780141844,0.015028901734104,0.0663627908452689,0.759123519042334,"contrast 
* nback threshold"
0.099290780141844,0.015606936416185,0.0663355020689787,0.759123519042334,"contrast 
* nback threshold"
0.099290780141844,0.0161849710982659,0.0658645290925579,0.759123519042334,"contrast 
* nback threshold"
0.099290780141844,0.0167630057803468,0.0658191680782076,0.759123519042334,"contrast 
* nback threshold"
0.106382978723404,0.0167630057803468,0.0653163572900151,0.759123519042334,"contrast 
* nback threshold"
0.106382978723404,0.0173410404624277,0.0651893159930153,0.759123519042334,"contrast 
* nback threshold"
0.106382978723404,0.0179190751445087,0.0651711943318546,0.759123519042334,"contrast 
* nback threshold"
0.106382978723404,0.0184971098265896,0.064300491843886,0.759123519042334,"contrast 
* nback threshold"
0.106382978723404,0.0190751445086705,0.0639315482258144,0.759123519042334,"contrast 
* nback threshold"
0.113475177304965,0.0190751445086705,0.0639240744674906,0.759123519042334,"contrast 
* nback threshold"
0.120567375886525,0.0190751445086705,0.0633642133853933,0.759123519042334,"contrast 
* nback threshold"
0.127659574468085,0.0190751445086705,0.062908622162178,0.759123519042334,"contrast 
* nback threshold"
0.134751773049645,0.0190751445086705,0.0622569769488654,0.759123519042334,"contrast 
* nback threshold"
0.134751773049645,0.0196531791907514,0.0617336677005759,0.759123519042334,"contrast 
* nback threshold"
0.134751773049645,0.0202312138728324,0.0615555979298271,0.759123519042334,"contrast 
* nback threshold"
0.141843971631206,0.0202312138728324,0.061501958432768,0.759123519042334,"contrast 
* nback threshold"
0.148936170212766,0.0202312138728324,0.061373315474239,0.759123519042334,"contrast 
* nback threshold"
