"True_positive_rate","False_positive_rate","Cutoff","Area_under_the_ROC_curve","model"
0,0,Inf,0.686876149198843,"temp 
+ nox."
0,0.00173611111111111,0.112007510177111,0.686876149198843,"temp 
+ nox."
0,0.00347222222222222,0.107445635472261,0.686876149198843,"temp 
+ nox."
0.00709219858156028,0.00462962962962963,0.102440563839601,0.686876149198843,"temp 
+ nox."
0.00709219858156028,0.00636574074074074,0.101553042356945,0.686876149198843,"temp 
+ nox."
0.0141843971631206,0.00752314814814815,0.101376358482776,0.686876149198843,"temp 
+ nox."
0.0141843971631206,0.00925925925925926,0.101182321262404,0.686876149198843,"temp 
+ nox."
0.0141843971631206,0.0109953703703704,0.100567121329255,0.686876149198843,"temp 
+ nox."
0.0141843971631206,0.0127314814814815,0.099781033181547,0.686876149198843,"temp 
+ nox."
0.0354609929078014,0.0127314814814815,0.0995897110559394,0.686876149198843,"temp 
+ nox."
0.0567375886524823,0.0127314814814815,0.0991561010682113,0.686876149198843,"temp 
+ nox."
0.0709219858156028,0.0133101851851852,0.0989485656284518,0.686876149198843,"temp 
+ nox."
0.0709219858156028,0.0150462962962963,0.0967588149230394,0.686876149198843,"temp 
+ nox."
0.0709219858156028,0.0167824074074074,0.0965726660039589,0.686876149198843,"temp 
+ nox."
0.0851063829787234,0.0173611111111111,0.0944465575852184,0.686876149198843,"temp 
+ nox."
0.0851063829787234,0.0190972222222222,0.0942974902739281,0.686876149198843,"temp 
+ nox."
0.0921985815602837,0.0202546296296296,0.0941486337779708,0.686876149198843,"temp 
+ nox."
0.0921985815602837,0.0219907407407407,0.0931616283272584,0.686876149198843,"temp 
+ nox."
0.0921985815602837,0.0237268518518519,0.0930143807405655,0.686876149198843,"temp 
+ nox."
0.0921985815602837,0.025462962962963,0.0920866546865848,0.686876149198843,"temp 
+ nox."
0.099290780141844,0.0266203703703704,0.0917146690363575,0.686876149198843,"temp 
+ nox."
0.106382978723404,0.0277777777777778,0.0916339815506326,0.686876149198843,"temp 
+ nox."
0.106382978723404,0.0295138888888889,0.0912315008270099,0.686876149198843,"temp 
+ nox."
0.106382978723404,0.03125,0.0911351423777354,0.686876149198843,"temp 
+ nox."
0.120567375886525,0.0318287037037037,0.0911190915413773,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0329861111111111,0.0909587230219443,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0347222222222222,0.0904313077417147,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0364583333333333,0.0903994318561389,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0381944444444444,0.0889283383176721,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0399305555555556,0.088708763122629,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0416666666666667,0.0882398920986616,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0434027777777778,0.0880062969201513,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.0451388888888889,0.0875717470560157,0.686876149198843,"temp 
+ nox."
0.127659574468085,0.046875,0.0873861058692199,0.686876149198843,"temp 
+ nox."
0.148936170212766,0.046875,0.0873552002894538,0.686876149198843,"temp 
+ nox."
0.163120567375887,0.0474537037037037,0.0869389414116391,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0486111111111111,0.086908178918814,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0503472222222222,0.086539796558257,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0520833333333333,0.0865091619175766,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0538194444444444,0.0862644380311429,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0555555555555556,0.085534024037159,0.686876149198843,"temp 
+ nox."
0.170212765957447,0.0572916666666667,0.0845688603874358,0.686876149198843,"temp 
+ nox."
0.177304964539007,0.0584490740740741,0.0830362934331344,0.686876149198843,"temp 
+ nox."
0.177304964539007,0.0601851851851852,0.0830067863145858,0.686876149198843,"temp 
+ nox."
0.177304964539007,0.0619212962962963,0.0829330602354675,0.686876149198843,"temp 
+ nox."
0.177304964539007,0.0636574074074074,0.0824333006588261,0.686876149198843,"temp 
+ nox."
0.177304964539007,0.0653935185185185,0.081994614226818,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0665509259259259,0.081239258474317,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0700231481481482,0.08092159842582,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0717592592592593,0.0803039862996184,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0734953703703704,0.0799326364223325,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0752314814814815,0.0798614029874671,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0769675925925926,0.0792653273793573,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0787037037037037,0.0787857709859374,0.686876149198843,"temp 
+ nox."
0.184397163120567,0.0804398148148148,0.0787154721607264,0.686876149198843,"temp 
+ nox."
0.205673758865248,0.0804398148148148,0.077349150658429,0.686876149198843,"temp 
+ nox."
0.205673758865248,0.0821759259259259,0.0772800261634355,0.686876149198843,"temp 
+ nox."
0.205673758865248,0.083912037037037,0.0770316464034059,0.686876149198843,"temp 
+ nox."
0.205673758865248,0.0856481481481482,0.0764823091258933,0.686876149198843,"temp 
+ nox."
0.212765957446809,0.0868055555555556,0.0762908914127107,0.686876149198843,"temp 
+ nox."
0.234042553191489,0.0868055555555556,0.0760999132974259,0.686876149198843,"temp 
+ nox."
0.234042553191489,0.0885416666666667,0.0759501669263365,0.686876149198843,"temp 
+ nox."
