"True_positive_rate","False_positive_rate","Cutoff","Area_under_the_ROC_curve","model"
0,0,Inf,0.648061958234831,"temp"
0.574468085106383,0.314236111111111,0.0480006564453251,0.648061958234831,"temp"
0.836879432624113,0.652777777777778,0.0162972366469093,0.648061958234831,"temp"
1,1,0.00896464673146464,0.648061958234831,"temp"
