"True_positive_rate","False_positive_rate","Cutoff","Area_under_the_ROC_curve","model"
0,0,Inf,0.763255852088696,"innocuous TCF 
+ 1-back"
0,0.000578034682080925,0.970693912310384,0.763255852088696,"innocuous TCF 
+ 1-back"
0.00709219858156028,0.000578034682080925,0.94748725452129,0.763255852088696,"innocuous TCF 
+ 1-back"
0.00709219858156028,0.00115606936416185,0.587381386771942,0.763255852088696,"innocuous TCF 
+ 1-back"
0.00709219858156028,0.00173410404624277,0.274416094259039,0.763255852088696,"innocuous TCF 
+ 1-back"
0.00709219858156028,0.0023121387283237,0.229235763351848,0.763255852088696,"innocuous TCF 
+ 1-back"
0.00709219858156028,0.00289017341040462,0.217815629078501,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0141843971631206,0.00289017341040462,0.199905940211502,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0212765957446809,0.00289017341040462,0.163539446211661,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0283687943262411,0.00289017341040462,0.163490494143868,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0283687943262411,0.00346820809248555,0.129540395237771,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0354609929078014,0.00346820809248555,0.125096625314325,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0425531914893617,0.00346820809248555,0.12449938310633,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0425531914893617,0.00404624277456647,0.116549709106204,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0425531914893617,0.0046242774566474,0.106191923071094,0.763255852088696,"innocuous TCF 
+ 1-back"
0.049645390070922,0.0046242774566474,0.100548611266148,0.763255852088696,"innocuous TCF 
+ 1-back"
0.049645390070922,0.00520231213872832,0.100336278515099,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0567375886524823,0.00520231213872832,0.090424564320641,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0567375886524823,0.00578034682080925,0.0853495268882686,0.763255852088696,"innocuous TCF 
+ 1-back"
0.0638297872340425,0.00578034682080925,0.0814527307985909,0.763255852088696,"innocuous TCF 
+ 1-back"
