"baseline","instruction","mean","median","sd","stderr","ci_upper","ci_mean","ci_lower","ci"
32,"detect",29.854407051282,30.2316666666666,1.62617510949967,0.112754956542006,30.07670236474,29.854407051282,29.6321117378241,0.444590626915968
38,"detect",29.3913942307692,29.7533333333334,1.30580989629801,0.0905416257136694,29.5698961759278,29.3913942307692,29.2128922856107,0.357003890317095
44,"detect",28.9045032051282,29.295,1.69887072750753,0.117795490738715,29.1367358833249,28.9045032051282,28.6722705269315,0.464465356393347
32,"pain",11.7265544871795,11.51,9.09329740468138,0.630506731838891,12.9695924510075,11.7265544871795,10.4835165233514,2.48607592765609
38,"pain",13.5853685897436,14.3,9.72772932075525,0.674496670381107,14.9151322947464,13.5853685897436,12.2556048847407,2.65952741000572
44,"pain",13.8480769230769,14.2966666666666,9.9134276629432,0.687372533737401,15.2032252689737,13.8480769230769,12.4929285771801,2.71029669179358
